"unattempted","wrong","correct","partCorrect1m","partCorrect2m","partCorrect3m","subject","paper","year","qaNum","qaType","markScheme","right","tot","wOtot","uOtot","cOtot","rOtot","not.rOtot"
27199,0,3694,46132,68870,13645,"chemistry","2","2017",11,"MultCorrAns","-201234",59896,159540,0,0.17,0.023,0.375,0.625
37479,42168,4412,42933,32548,0,"chemistry","2","2017",12,"MultCorrAns","-201234",31419,159540,0.264,0.235,0.028,0.197,0.803
46951,46320,17476,48793,0,0,"chemistry","2","2017",13,"MultCorrAns","-201234",29674,159540,0.29,0.294,0.11,0.186,0.814
57055,45192,37669,19624,0,0,"chemistry","2","2017",14,"MultCorrAns","-201234",42575,159540,0.283,0.358,0.236,0.267,0.733
1858,64519,93163,NA,NA,NA,"chemistry","2","2017",15,"Compr","+03",93163,159540,0.404,0.012,0.584,0.584,0.416
2539,95931,61070,NA,NA,NA,"chemistry","2","2017",16,"Compr","+03",61070,159540,0.601,0.016,0.383,0.383,0.617
4754,109504,45282,NA,NA,NA,"chemistry","2","2017",17,"Compr","+03",45282,159540,0.686,0.03,0.284,0.284,0.716
2475,141513,15552,NA,NA,NA,"chemistry","2","2017",18,"Compr","+03",15552,159540,0.887,0.016,0.097,0.097,0.903
70573,25278,39889,13777,10023,0,"maths","1","2017",1,"MultCorrAns","-201234",48345,159540,0.158,0.442,0.25,0.303,0.697
68857,49834,40849,0,0,0,"maths","1","2017",2,"MultCorrAns","-201234",40849,159540,0.312,0.432,0.256,0.256,0.744
111977,24510,5871,17182,0,0,"maths","1","2017",4,"MultCorrAns","-201234",10167,159540,0.154,0.702,0.037,0.064,0.936
47566,66712,28931,16331,0,0,"maths","1","2017",5,"MultCorrAns","-201234",33014,159540,0.418,0.298,0.181,0.207,0.793
79596,21021,50262,8661,0,0,"maths","1","2017",6,"MultCorrAns","-201234",52427,159540,0.132,0.499,0.315,0.329,0.671
33598,26383,55018,44541,0,0,"maths","1","2017",7,"MultCorrAns","-201234",66153,159540,0.165,0.211,0.345,0.415,0.585
7542,110371,41627,NA,NA,NA,"maths","1","2017",8,"SingDigitInteger","+03",41627,159540,0.692,0.047,0.261,0.261,0.739
11291,109842,38407,NA,NA,NA,"maths","1","2017",9,"SingDigitInteger","+03",38407,159540,0.688,0.071,0.241,0.241,0.759
6462,101041,52037,NA,NA,NA,"maths","1","2017",10,"SingDigitInteger","+03",52037,159540,0.633,0.041,0.326,0.326,0.674
8921,102970,47649,NA,NA,NA,"maths","1","2017",11,"SingDigitInteger","+03",47649,159540,0.645,0.056,0.299,0.299,0.701
4923,52120,102497,NA,NA,NA,"maths","1","2017",12,"SingDigitInteger","+03",102497,159540,0.327,0.031,0.642,0.642,0.358
39966,35516,84058,NA,NA,NA,"maths","1","2017",13,"SingCorrAns","-103",84058,159540,0.223,0.251,0.527,0.527,0.473
40277,29819,89444,NA,NA,NA,"maths","1","2017",14,"SingCorrAns","-103",89444,159540,0.187,0.252,0.561,0.561,0.439
49707,37776,72057,NA,NA,NA,"maths","1","2017",15,"SingCorrAns","-103",72057,159540,0.237,0.312,0.452,0.452,0.548
83067,46954,29519,NA,NA,NA,"maths","1","2017",16,"SingCorrAns","-103",29519,159540,0.294,0.521,0.185,0.185,0.815
84747,38763,36030,NA,NA,NA,"maths","1","2017",17,"SingCorrAns","-103",36030,159540,0.243,0.531,0.226,0.226,0.774
84254,39520,35766,NA,NA,NA,"maths","1","2017",18,"SingCorrAns","-103",35766,159540,0.248,0.528,0.224,0.224,0.776
20988,32175,106377,NA,NA,NA,"maths","2","2017",1,"SingCorrAns","-103",106377,159540,0.202,0.132,0.667,0.667,0.333
71598,57631,30311,NA,NA,NA,"maths","2","2017",2,"SingCorrAns","-103",30311,159540,0.361,0.449,0.19,0.19,0.81
69782,35176,54582,NA,NA,NA,"maths","2","2017",3,"SingCorrAns","-103",54582,159540,0.22,0.437,0.342,0.342,0.658
66983,56369,36188,NA,NA,NA,"maths","2","2017",4,"SingCorrAns","-103",36188,159540,0.353,0.42,0.227,0.227,0.773
97232,42376,19932,NA,NA,NA,"maths","2","2017",5,"SingCorrAns","-103",19932,159540,0.266,0.609,0.125,0.125,0.875
66742,38328,54470,NA,NA,NA,"maths","2","2017",6,"SingCorrAns","-103",54470,159540,0.24,0.418,0.341,0.341,0.659
54672,61282,43586,NA,NA,NA,"maths","2","2017",7,"SingCorrAns","-103",43586,159540,0.384,0.343,0.273,0.273,0.727
70991,22000,42091,24458,0,0,"maths","2","2017",10,"MultCorrAns","-201234",48205,159540,0.138,0.445,0.264,0.302,0.698
