"","subject","topic","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011.1","X2011.2","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019.01091","X2019.01092","X2019.01101","X2019.01102","X2019.01111","X2019.01112","X2019.01121","X2019.01122","X2019.04081","X2019.04082","X2019.04091","X2019.04092","X2019.04101","X2019.04102","X2019.04121","X2019.04122","qTopic","avgWt","topicJEE","0%","25%","50%","75%","100%","subsec"
"21","p",NA,6.66666666666667,5.33333333333333,9.33333333333333,6.66666666666667,1.81818181818182,2.5,2.85714285714286,3.33333333333333,10,6.66666666666667,0,6.66666666666667,3.33333333333333,6.66666666666667,3.33333333333333,0,3.33333333333333,6.66666666666667,3.33333333333333,6.66666666666667,6.66666666666667,10,6.66666666666667,3.33333333333333,6.66666666666667,3.33333333333333,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,3.33333333333333,10,10,NA,5.34829386299975,"A-Unit2: kinematics",0,3.33333333333333,6.66666666666667,6.66666666666667,10,"pA-U"
"17","p",NA,2.66666666666667,2.66666666666667,1.33333333333333,0,0,0,0,0,0,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,6.66666666666667,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,10,0,0,6.66666666666667,NA,4.41176470588235,"A-Unit15: electromagnetic waves;A-Unit20: communication systems",0,1.66666666666667,6.66666666666667,6.66666666666667,10,"pA-U"
"1","c",NA,13.3333333333333,1.33333333333333,12,6.66666666666667,3.63636363636364,7.5,5.71428571428571,6.66666666666667,3.33333333333333,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,10,3.33333333333333,0,10,0,3.33333333333333,3.33333333333333,3.33333333333333,6.66666666666667,6.66666666666667,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,10,3.33333333333333,NA,5.49560733384263,"A-Physical Chemistry-Unit1: some basic concepts in chemistry",0,3.33333333333333,6.19047619047619,6.66666666666667,13.3333333333333,"cA-P"
"51","m",NA,12.5,1.53846153846154,2.98507462686567,2.94117647058824,8.33333333333333,2.77777777777778,2.94117647058824,3.33333333333333,6.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,10,3.44827586206897,3.44827586206897,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,3.44827586206897,6.89655172413793,3.44827586206897,3.44827586206897,6.66666666666667,3.44827586206897,10,3.44827586206897,13.3333333333333,6.66666666666667,6.66666666666667,3.44827586206897,6.66666666666667,6.89655172413793,NA,5.55087187928752,"Unit15: trigonometry",1.53846153846154,3.36206896551724,5.05747126436782,6.66666666666667,13.3333333333333,"mUni"
"58","m",NA,6.94444444444444,1.53846153846154,4.47761194029851,1.47058823529412,5.55555555555556,2.77777777777778,2.94117647058824,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,6.66666666666667,3.33333333333333,6.89655172413793,3.44827586206897,6.66666666666667,10,6.66666666666667,6.66666666666667,6.66666666666667,6.89655172413793,0,6.89655172413793,6.89655172413793,6.66666666666667,6.89655172413793,3.33333333333333,3.44827586206897,3.33333333333333,6.66666666666667,6.66666666666667,10.3448275862069,3.33333333333333,3.44827586206897,NA,5.02582440457422,"Unit7: sequences and series",0,3.33333333333333,5.01658374792703,6.66666666666667,10.3448275862069,"mUni"
"48","m",NA,4.16666666666667,9.23076923076923,7.46268656716418,5.88235294117647,5.55555555555556,8.33333333333333,5.88235294117647,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.89655172413793,6.89655172413793,6.66666666666667,0,6.66666666666667,0,0,0,0,0,0,0,0,0,6.89655172413793,0,0,0,10.3448275862069,3.33333333333333,3.44827586206897,NA,3.95087674087838,"Unit12: three dimensional geometry",0,0,4.86111111111111,6.66666666666667,10.3448275862069,"mUni"
"38","c",NA,4,4,1.33333333333333,4,7.27272727272727,7.5,5.71428571428571,3.33333333333333,13.3333333333333,10,10,6.66666666666667,10,6.66666666666667,6.66666666666667,10,6.66666666666667,13.3333333333333,13.3333333333333,16.6666666666667,6.66666666666667,3.33333333333333,3.33333333333333,10,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,0,0,0,0,3.33333333333333,0,NA,5.89667685255921,"C-Organic Chemistry-Unit20: some basic principles of organic chemistry",0,3.33333333333333,4.85714285714286,9.375,16.6666666666667,"cC-O"
"45","m",NA,5.55555555555556,7.69230769230769,7.46268656716418,4.41176470588235,5.55555555555556,2.77777777777778,5.88235294117647,10,3.33333333333333,6.66666666666667,6.66666666666667,3.33333333333333,3.33333333333333,6.89655172413793,3.44827586206897,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.44827586206897,3.44827586206897,0,6.89655172413793,3.33333333333333,3.44827586206897,3.33333333333333,3.44827586206897,0,6.66666666666667,3.33333333333333,3.44827586206897,3.33333333333333,3.44827586206897,NA,4.33144221406407,"Unit1: sets, relations and functions",0,3.33333333333333,3.44827586206897,5.80065359477124,10,"mUni"
"8","c",NA,8,10.6666666666667,6.66666666666667,6.66666666666667,3.63636363636364,7.5,11.4285714285714,3.33333333333333,10,3.33333333333333,10,6.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,16.6666666666667,3.33333333333333,3.33333333333333,6.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,6.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,0,3.33333333333333,3.33333333333333,6.66666666666667,3.33333333333333,6.66666666666667,NA,5.42838044308633,"A-Physical Chemistry-Unit7: equilibrium",0,3.33333333333333,3.33333333333333,6.66666666666667,16.6666666666667,"cA-P"
"16","p",NA,5.33333333333333,6.66666666666667,8,6.66666666666667,10.9090909090909,2.5,2.85714285714286,3.33333333333333,10,6.66666666666667,3.33333333333333,3.33333333333333,10,3.33333333333333,6.66666666666667,3.33333333333333,3.33333333333333,6.66666666666667,3.33333333333333,6.66666666666667,0,3.33333333333333,6.66666666666667,3.33333333333333,3.33333333333333,6.66666666666667,10,3.33333333333333,3.33333333333333,6.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,NA,5.08626177743825,"A-Unit14: electromagnetic induction and alternating currents",0,3.33333333333333,3.33333333333333,6.66666666666667,10.9090909090909,"pA-U"
